name,dateOfBirth,phoneNumber,gender,state,postcode,address,position,fullAddress,random5num,staffID
Artair Polkinghorne,6/22/1907,017-5401815,M,Melaka,02890,88116 Del Mar Parkway,nurse,"88116 Del Mar Parkway, 02890, Melaka",42100,N42100
Michaela Walasik,9/4/1920,019-3411762,M,Kuala Lumpur,93976,78472 School Trail,doctor,"78472 School Trail, 93976, Kuala Lumpur",72639,D72639
Marieann Denisot,11/1/1945,018-9368403,M,Perak,58547,98 Rigney Road,nurse,"98 Rigney Road, 58547, Perak",54227,N54227
Quinn Maynard,7/23/1920,010-72640101,M,Johor,62718,6 Buell Crossing,nurse,"6 Buell Crossing, 62718, Johor",30834,N30834
Goldie Crannage,7/28/1940,019-5384656,M,Sabah,32151,01 Fuller Junction,nurse,"01 Fuller Junction, 32151, Sabah",76520,N76520
Charmain Youthead,2/20/1964,010-66450730,M,Perak,63116,1586 Browning Road,nurse,"1586 Browning Road, 63116, Perak",24388,N24388
Barth Massy,2/11/1929,019-8879272,M,Melaka,49302,274 Jenifer Alley,nurse,"274 Jenifer Alley, 49302, Melaka",48997,N48997
Alan Bricksey,3/29/1934,014-3799541,F,Perak,46759,74 Village Green Center,doctor,"74 Village Green Center, 46759, Perak",73473,D73473
Gauthier Collingwood,5/25/1929,010-72062242,F,Kelantan,08001,17 High Crossing Court,nurse,"17 High Crossing Court, 08001, Kelantan",80131,N80131
Kaitlin Anderl,7/18/1970,017-0456654,F,Sarawak,74298,848 Northland Drive,nurse,"848 Northland Drive, 74298, Sarawak",68618,N68618
Armstrong Ephson,11/22/1968,014-6205793,F,Pahang,27262,39693 Tony Point,nurse,"39693 Tony Point, 27262, Pahang",66149,N66149
Feodor Swaden,1/16/1998,011-42483599,F,Negeri Sembilan,64553,62739 Eastwood Crossing,nurse,"62739 Eastwood Crossing, 64553, Negeri Sembilan",19928,N19928
Clarabelle Blannin,2/14/1925,011-69020894,M,Terengganu,50321,3 Hanson Hill,doctor,"3 Hanson Hill, 50321, Terengganu",72592,D72592
Daryle Northbridge,4/9/1928,018-3481152,M,Labuan,26386,30 Huxley Junction,nurse,"30 Huxley Junction, 26386, Labuan",75606,N75606
Ric Gwyn,1/16/1989,018-7601996,M,Johor,28713,3293 Boyd Avenue,doctor,"3293 Boyd Avenue, 28713, Johor",93113,D93113
Vonnie Salerno,7/30/1937,010-21720170,M,Melaka,63029,31 Melvin Junction,nurse,"31 Melvin Junction, 63029, Melaka",80506,N80506
Christoph Colpus,1/29/1912,010-98073423,F,Perak,17836,659 Nevada Terrace,doctor,"659 Nevada Terrace, 17836, Perak",20447,D20447
Wenonah Whimper,4/27/1949,011-44765662,F,Negeri Sembilan,17692,94 Anthes Lane,doctor,"94 Anthes Lane, 17692, Negeri Sembilan",46854,D46854
Haslett Tolworth,9/3/1919,011-99644670,F,Perak,95804,9 International Parkway,doctor,"9 International Parkway, 95804, Perak",72277,D72277
Ludovico Whitnall,1/21/1960,011-92586662,M,Sarawak,57337,85 Westend Lane,doctor,"85 Westend Lane, 57337, Sarawak",26598,D26598
Charmine Richfield,12/6/1948,010-88420102,F,Kuala Lumpur,99425,40 Forster Park,nurse,"40 Forster Park, 99425, Kuala Lumpur",52115,N52115
Maribel Gilmour,9/29/1993,010-74685668,M,Perak,20788,7 Blue Bill Park Park,doctor,"7 Blue Bill Park Park, 20788, Perak",10117,D10117
Law Malafe,6/30/1983,010-38223536,F,Terengganu,28419,2 Northridge Place,nurse,"2 Northridge Place, 28419, Terengganu",41208,N41208
Katie Duggon,8/29/1979,011-60297908,M,Putrajaya,48527,711 Everett Court,nurse,"711 Everett Court, 48527, Putrajaya",84889,N84889
North Randlesome,8/31/1912,018-6600619,M,Terengganu,28581,7 Cherokee Street,nurse,"7 Cherokee Street, 28581, Terengganu",26622,N26622
Cazzie Mangenet,4/26/1928,010-00289260,M,Sarawak,75242,600 Derek Park,nurse,"600 Derek Park, 75242, Sarawak",19294,N19294
Faydra Mayou,2/24/1976,010-60023467,M,Melaka,20443,44 International Park,nurse,"44 International Park, 20443, Melaka",21800,N21800
Jeremias Pacquet,11/10/1956,011-48348898,M,Sarawak,46188,14258 Eastwood Trail,doctor,"14258 Eastwood Trail, 46188, Sarawak",15449,D15449
Sawyer Bousler,6/11/1923,010-62035070,M,Putrajaya,73194,01387 Muir Pass,nurse,"01387 Muir Pass, 73194, Putrajaya",03469,N03469
Lars Carwithan,12/24/1993,010-50021204,F,Melaka,06507,00 Myrtle Park,nurse,"00 Myrtle Park, 06507, Melaka",83126,N83126
Joe Winterburn,7/21/1936,017-6263951,F,Penang,48070,3 Russell Terrace,nurse,"3 Russell Terrace, 48070, Penang",57156,N57156
Sarge Webborn,7/30/1962,010-36294886,M,Perlis,90879,87 Oneill Park,nurse,"87 Oneill Park, 90879, Perlis",17033,N17033
Dotti Canniffe,9/1/1944,010-09611619,M,Terengganu,41557,674 Hallows Center,nurse,"674 Hallows Center, 41557, Terengganu",23371,N23371
Shayla Melby,10/10/1969,018-4150804,F,Sarawak,93453,5 Shoshone Circle,doctor,"5 Shoshone Circle, 93453, Sarawak",61288,D61288
Chelsae Skarr,11/8/1937,010-35113813,M,Kelantan,34053,896 Bashford Road,doctor,"896 Bashford Road, 34053, Kelantan",35504,D35504
Lane Biers,12/31/1931,011-86439769,M,Negeri Sembilan,71983,2669 Esker Junction,nurse,"2669 Esker Junction, 71983, Negeri Sembilan",48027,N48027
Celle Northcliffe,10/7/1913,019-0717898,F,Kedah,14454,4902 Kinsman Plaza,nurse,"4902 Kinsman Plaza, 14454, Kedah",04713,N04713
Parke Ede,9/4/1919,016-1712119,M,Johor,60572,06 Londonderry Lane,nurse,"06 Londonderry Lane, 60572, Johor",86540,N86540
Lisle Edgehill,12/7/1933,017-0044134,M,Kelantan,05038,2 Butternut Avenue,doctor,"2 Butternut Avenue, 05038, Kelantan",12454,D12454
Lorrayne Beall,12/4/1914,019-1493092,M,Selangor,92217,6413 Macpherson Pass,doctor,"6413 Macpherson Pass, 92217, Selangor",67722,D67722
Georgie Besnard,7/17/1982,010-15466766,F,Perak,35690,28884 Hanover Parkway,nurse,"28884 Hanover Parkway, 35690, Perak",60803,N60803
Smitty Dairton,4/4/1982,011-50539688,F,Kedah,80164,81525 Hallows Circle,nurse,"81525 Hallows Circle, 80164, Kedah",58601,N58601
Etti Rimes,4/24/1979,014-0202023,M,Sarawak,41989,185 Grasskamp Terrace,doctor,"185 Grasskamp Terrace, 41989, Sarawak",77943,D77943
Sandro Pryn,8/17/1985,019-1918846,M,Kelantan,64115,51306 Calypso Terrace,nurse,"51306 Calypso Terrace, 64115, Kelantan",09172,N09172
Ashely Leed,3/13/1949,010-25739607,M,Kelantan,93760,7847 American Center,nurse,"7847 American Center, 93760, Kelantan",57887,N57887
Pete Tylor,6/9/1944,019-5886009,F,Kelantan,57279,0 Arizona Avenue,doctor,"0 Arizona Avenue, 57279, Kelantan",96901,D96901
Annnora Proudlove,7/13/1982,019-9992942,M,Johor,23846,4 Sachtjen Hill,doctor,"4 Sachtjen Hill, 23846, Johor",78518,D78518
Rubi Jerratsch,12/4/1961,019-2402069,M,Labuan,18389,62400 Riverside Center,nurse,"62400 Riverside Center, 18389, Labuan",42015,N42015
Liana Iacobassi,5/19/1956,019-8473782,F,Sarawak,16463,70 Express Point,nurse,"70 Express Point, 16463, Sarawak",87472,N87472
Humfried Ham,3/10/1903,018-7624397,M,Putrajaya,31313,14159 Pine View Junction,doctor,"14159 Pine View Junction, 31313, Putrajaya",44861,D44861
Etta Moors,7/20/1941,010-55158614,M,Selangor,29605,23 Swallow Place,nurse,"23 Swallow Place, 29605, Selangor",30860,N30860
Merwyn McGeagh,11/15/1978,011-60533967,F,Sabah,92645,61 Gina Pass,doctor,"61 Gina Pass, 92645, Sabah",20900,D20900
Patrizius Lapree,9/3/1949,019-0630396,M,Pahang,26561,8433 Autumn Leaf Road,nurse,"8433 Autumn Leaf Road, 26561, Pahang",06037,N06037
Tanny Keelin,9/2/1917,011-39404795,M,Terengganu,18487,59985 Mesta Point,nurse,"59985 Mesta Point, 18487, Terengganu",57484,N57484
Anya Giraths,10/1/1928,010-07393894,M,Pahang,27882,47602 Saint Paul Place,doctor,"47602 Saint Paul Place, 27882, Pahang",22872,D22872
Phaedra Voak,10/16/1940,010-83796380,F,Pahang,03509,4133 Sheridan Lane,nurse,"4133 Sheridan Lane, 03509, Pahang",45458,N45458
Johnathon Silman,5/4/1929,018-7833444,M,Sarawak,24152,11909 Bunting Way,nurse,"11909 Bunting Way, 24152, Sarawak",47030,N47030
Nanni Smittoune,8/29/1906,011-22293180,F,Perlis,37023,09549 5th Crossing,nurse,"09549 5th Crossing, 37023, Perlis",04869,N04869
Sher McGuirk,10/10/1985,019-9032926,M,Perak,19224,169 Ramsey Alley,nurse,"169 Ramsey Alley, 19224, Perak",40512,N40512
Cory Maudling,6/30/1968,011-50187164,M,Perlis,20912,9445 Kenwood Court,nurse,"9445 Kenwood Court, 20912, Perlis",66593,N66593
Renado Gribbin,11/11/1957,019-9540060,M,Penang,06951,5 Maywood Lane,doctor,"5 Maywood Lane, 06951, Penang",08046,D08046
Delia Copnell,8/21/1936,019-4530848,M,Penang,76331,625 Havey Terrace,nurse,"625 Havey Terrace, 76331, Penang",52803,N52803
Pren de Najera,5/16/1974,011-11939953,M,Labuan,52312,586 Stang Alley,nurse,"586 Stang Alley, 52312, Labuan",89126,N89126
Layton Faichney,6/27/1922,016-1983060,F,Kelantan,52769,73129 Amoth Terrace,doctor,"73129 Amoth Terrace, 52769, Kelantan",78201,D78201
Manda Santry,11/22/1962,018-5141038,M,Sabah,76607,35665 Jenna Circle,doctor,"35665 Jenna Circle, 76607, Sabah",71177,D71177
Perry Cromwell,12/2/1941,011-45457050,F,Sarawak,86638,3 Acker Junction,nurse,"3 Acker Junction, 86638, Sarawak",09045,N09045
Sal Bengtson,6/1/1939,019-1596690,F,Terengganu,14275,35448 Morrow Point,doctor,"35448 Morrow Point, 14275, Terengganu",99915,D99915
Penrod Kemm,7/11/1917,011-12202911,M,Terengganu,50948,653 High Crossing Road,nurse,"653 High Crossing Road, 50948, Terengganu",86317,N86317
Karla Kynnd,10/19/1973,017-0419699,M,Sarawak,80415,338 Johnson Way,doctor,"338 Johnson Way, 80415, Sarawak",36466,D36466
Gerald Cassell,8/8/1907,019-8119220,M,Labuan,33402,65 Pankratz Pass,doctor,"65 Pankratz Pass, 33402, Labuan",88029,D88029
Sunshine Gebb,10/24/1923,010-73614534,M,Selangor,76364,1 Kensington Circle,nurse,"1 Kensington Circle, 76364, Selangor",16638,N16638
Colan Eland,3/11/1908,011-56586293,F,Selangor,21481,26414 Sugar Crossing,doctor,"26414 Sugar Crossing, 21481, Selangor",24106,D24106
Merell Perfect,5/18/1980,010-22736783,M,Kelantan,03648,845 Kensington Place,nurse,"845 Kensington Place, 03648, Kelantan",48147,N48147
Mose Mulhall,10/16/1900,011-79579170,F,Labuan,86428,1851 Fallview Parkway,doctor,"1851 Fallview Parkway, 86428, Labuan",91801,D91801
Netty Odam,6/1/1918,019-9489134,F,Penang,96449,3 Dahle Place,doctor,"3 Dahle Place, 96449, Penang",70365,D70365
Lanna Jarlmann,9/3/1902,010-31785169,M,Kedah,99582,0864 Shopko Hill,nurse,"0864 Shopko Hill, 99582, Kedah",80785,N80785
Emelda Di Pietro,10/26/1944,019-2038958,F,Kuala Lumpur,50450,992 Meadow Vale Point,nurse,"992 Meadow Vale Point, 50450, Kuala Lumpur",80835,N80835
Terrie Grogono,12/19/1903,019-5059227,F,Melaka,77437,2759 Merchant Place,nurse,"2759 Merchant Place, 77437, Melaka",63568,N63568
Fleurette Armatidge,4/24/1979,010-77954598,F,Kelantan,22283,187 Trailsway Junction,nurse,"187 Trailsway Junction, 22283, Kelantan",49733,N49733
Chloette Withnall,3/5/1954,016-4808227,M,Putrajaya,83751,49944 Golf Court,nurse,"49944 Golf Court, 83751, Putrajaya",04874,N04874
Clay McNeillie,5/5/1963,011-8873336,M,Pahang,23181,133 Arrowood Street,doctor,"133 Arrowood Street, 23181, Pahang",06767,D06767
Bianka Farnfield,5/30/1949,010-73833089,M,Pahang,40991,86 Rieder Street,doctor,"86 Rieder Street, 40991, Pahang",79906,D79906
Glenden Walentynowicz,9/10/1959,019-4583326,M,Melaka,90569,95 Green Ridge Junction,nurse,"95 Green Ridge Junction, 90569, Melaka",92218,N92218
Kim Truscott,1/25/1976,010-84173326,M,Selangor,44228,2342 Buell Park,nurse,"2342 Buell Park, 44228, Selangor",51509,N51509
Josh Domnin,9/6/1979,017-9905922,F,Selangor,82297,4 Eagan Parkway,nurse,"4 Eagan Parkway, 82297, Selangor",71545,N71545
Terrijo Baythrop,10/18/1922,011-32838080,M,Perlis,81873,88505 Maryland Avenue,nurse,"88505 Maryland Avenue, 81873, Perlis",44358,N44358
Eve Greep,12/2/1968,018-0326785,M,Selangor,36038,38 Karstens Terrace,nurse,"38 Karstens Terrace, 36038, Selangor",74623,N74623
Anna Netherclift,10/31/1901,011-99632291,F,Terengganu,91340,051 Starling Court,doctor,"051 Starling Court, 91340, Terengganu",26381,D26381
Araldo Masic,1/1/1951,011-69406786,F,Melaka,41365,48940 Delaware Point,nurse,"48940 Delaware Point, 41365, Melaka",52825,N52825
Witty Willox,10/23/1945,010-88865017,F,Labuan,39271,66325 Summer Ridge Road,nurse,"66325 Summer Ridge Road, 39271, Labuan",51240,N51240
Garrett Somes,10/24/1985,011-41361551,F,Perlis,73218,8 Nobel Trail,nurse,"8 Nobel Trail, 73218, Perlis",29739,N29739
Christian Blasiak,7/19/1945,017-8433427,M,Negeri Sembilan,62932,3 Dayton Court,nurse,"3 Dayton Court, 62932, Negeri Sembilan",06046,N06046
Niki Cranson,4/11/1935,010-12578183,F,Sabah,96612,141 Mcbride Parkway,doctor,"141 Mcbride Parkway, 96612, Sabah",14681,D14681
Nikos Spillard,10/17/1921,010-29457437,M,Penang,22888,6117 Dayton Alley,nurse,"6117 Dayton Alley, 22888, Penang",74730,N74730
Willem Sacaze,12/16/1961,017-8909127,M,Pahang,80006,5294 Redwing Avenue,nurse,"5294 Redwing Avenue, 80006, Pahang",05433,N05433
Tripp Reynalds,4/5/1971,018-0805750,F,Kuala Lumpur,83722,78 Logan Court,doctor,"78 Logan Court, 83722, Kuala Lumpur",95602,D95602
Gena Laming,10/3/1903,010-15459618,M,Kedah,82202,8663 Talmadge Circle,doctor,"8663 Talmadge Circle, 82202, Kedah",95345,D95345
Andonis Doubleday,11/5/1921,010-12254332,M,Melaka,21127,051 Vernon Drive,nurse,"051 Vernon Drive, 21127, Melaka",42606,N42606
Reeva Raden,10/27/1999,018-7541806,F,Perak,45614,9234 Helena Court,doctor,"9234 Helena Court, 45614, Perak",93531,D93531
Andriana St Pierre,2/9/1942,011-27718102,M,Negeri Sembilan,20402,4 Ohio Center,nurse,"4 Ohio Center, 20402, Negeri Sembilan",30071,N30071
Barbee Gabbat,11/7/1994,019-0857912,M,Terengganu,82619,875 Karstens Hill,nurse,"875 Karstens Hill, 82619, Terengganu",86685,N86685
Berkie Kittoe,5/7/1995,017-3328335,M,Kuala Lumpur,64618,565 Lukken Terrace,nurse,"565 Lukken Terrace, 64618, Kuala Lumpur",79474,N79474
Eryn Jopson,8/31/1937,019-9182826,M,Kuala Lumpur,42270,77 Kim Terrace,nurse,"77 Kim Terrace, 42270, Kuala Lumpur",68912,N68912
Bruce Bubb,11/26/1901,018-1945571,M,Perlis,59693,08 3rd Crossing,nurse,"08 3rd Crossing, 59693, Perlis",40900,N40900
Moise Olley,5/21/1907,017-3845982,F,Sabah,84598,0 Bunker Hill Way,nurse,"0 Bunker Hill Way, 84598, Sabah",15771,N15771
Jarrid Pavis,5/2/1975,011-05854987,F,Labuan,26301,69 Eagle Crest Crossing,nurse,"69 Eagle Crest Crossing, 26301, Labuan",24312,N24312
Travers Nisco,10/19/1906,011-47492840,F,Selangor,15616,5113 Mandrake Place,nurse,"5113 Mandrake Place, 15616, Selangor",02518,N02518
Josefina Phifer,9/7/1992,019-6671201,M,Kedah,04541,81 Helena Center,nurse,"81 Helena Center, 04541, Kedah",88118,N88118
Gael Canham,2/22/1934,011-07811165,F,Terengganu,76482,86131 Evergreen Place,nurse,"86131 Evergreen Place, 76482, Terengganu",76637,N76637
Jany Skoughman,6/9/1932,010-93295764,F,Sarawak,24341,766 Prentice Plaza,nurse,"766 Prentice Plaza, 24341, Sarawak",15271,N15271
Clayborne Bunt,3/7/1911,019-6323187,M,Kedah,52407,0 Westend Way,doctor,"0 Westend Way, 52407, Kedah",71863,D71863
Giulio Longridge,7/7/1993,011-24458450,M,Perlis,78055,23032 Judy Hill,nurse,"23032 Judy Hill, 78055, Perlis",03663,N03663
Waylon Radolf,7/26/1905,018-6767562,F,Pahang,00719,77 Summit Pass,nurse,"77 Summit Pass, 00719, Pahang",48164,N48164
Brendan Bate,5/23/1974,011-32853458,M,Sabah,05306,85761 Lake View Pass,nurse,"85761 Lake View Pass, 05306, Sabah",93477,N93477
Rooney Lambden,11/11/1951,011-98183728,M,Sabah,46445,53 Clemons Street,nurse,"53 Clemons Street, 46445, Sabah",96544,N96544
Sayers Kless,3/14/1983,010-88437794,F,Pahang,71514,991 Florence Way,nurse,"991 Florence Way, 71514, Pahang",83393,N83393
Carly Conneau,6/12/1919,019-2332925,M,Kuala Lumpur,96525,12 Bellgrove Way,nurse,"12 Bellgrove Way, 96525, Kuala Lumpur",76321,N76321
Shea Longhorne,8/9/1959,010-20754932,M,Labuan,57665,348 Haas Lane,doctor,"348 Haas Lane, 57665, Labuan",55150,D55150
Lem Newcome,1/15/1952,018-3121989,M,Sarawak,55394,78 Spaight Parkway,nurse,"78 Spaight Parkway, 55394, Sarawak",06071,N06071
Karylin Guyonnet,8/2/1916,010-42421197,M,Selangor,54343,617 Menomonie Street,nurse,"617 Menomonie Street, 54343, Selangor",50481,N50481
Rhianna Higgonet,1/28/1943,011-65867963,F,Kelantan,52578,41 Moland Circle,nurse,"41 Moland Circle, 52578, Kelantan",24854,N24854
Charmaine Renvoise,5/30/1964,017-7646059,M,Terengganu,03634,6 Dawn Way,nurse,"6 Dawn Way, 03634, Terengganu",11535,N11535
Hobard Rolland,4/16/1990,019-0372105,M,Labuan,97228,39001 Del Sol Crossing,nurse,"39001 Del Sol Crossing, 97228, Labuan",78264,N78264
Mag Erwin,7/1/1938,011-92533645,M,Kedah,46731,79 Sage Hill,nurse,"79 Sage Hill, 46731, Kedah",29515,N29515
Emmit Longson,3/21/1905,011-24285086,F,Kelantan,35981,85 Holmberg Junction,nurse,"85 Holmberg Junction, 35981, Kelantan",24073,N24073
Christiana Laingmaid,6/13/1908,011-37747364,M,Perlis,44613,860 Surrey Trail,nurse,"860 Surrey Trail, 44613, Perlis",34434,N34434
Marlene Richings,8/28/1953,011-88630533,F,Selangor,56451,07326 Hudson Avenue,nurse,"07326 Hudson Avenue, 56451, Selangor",28071,N28071
Klemens Halsworth,10/30/1902,010-40441879,M,Kedah,96472,37 Carberry Alley,nurse,"37 Carberry Alley, 96472, Kedah",79981,N79981
Pavlov Daunay,2/28/1949,011-05053740,M,Penang,23719,9258 Summit Way,nurse,"9258 Summit Way, 23719, Penang",03936,N03936
Sapphira Nation,7/12/1953,019-0016454,F,Kelantan,21520,2 Hauk Point,nurse,"2 Hauk Point, 21520, Kelantan",09926,N09926
Milly Lavall,9/14/1938,019-6969498,F,Sabah,20277,24 Bellgrove Way,nurse,"24 Bellgrove Way, 20277, Sabah",56042,N56042
Anetta Follet,6/12/1963,012-7217137,M,Perlis,49164,61534 Lawn Trail,doctor,"61534 Lawn Trail, 49164, Perlis",02176,D02176
Ann Egdal,7/10/1960,014-3340257,M,Penang,79449,8781 Tomscot Alley,doctor,"8781 Tomscot Alley, 79449, Penang",16979,D16979
Anallise Merali,4/17/1918,012-2742889,F,Sabah,34286,975 Montana Road,nurse,"975 Montana Road, 34286, Sabah",34743,N34743
Reg Gemson,3/8/1940,011-92639379,M,Penang,09428,45 Lakeland Circle,nurse,"45 Lakeland Circle, 09428, Penang",79275,N79275
Candra Paxforde,1/15/1986,019-4496408,F,Kelantan,83091,488 Buell Street,nurse,"488 Buell Street, 83091, Kelantan",33538,N33538
Rube Biskupski,7/4/1905,011-60072094,F,Sabah,45343,5 Erie Trail,nurse,"5 Erie Trail, 45343, Sabah",24804,N24804
Dame Larkin,7/20/1901,011-16474499,M,Perlis,78922,04259 Milwaukee Junction,nurse,"04259 Milwaukee Junction, 78922, Perlis",94551,N94551
Neilla Johnston,5/11/1916,011-65973112,F,Sabah,04594,296 Lien Court,nurse,"296 Lien Court, 04594, Sabah",67617,N67617
Clerissa Lunge,12/7/1924,010-63290543,F,Negeri Sembilan,88655,90 Granby Drive,nurse,"90 Granby Drive, 88655, Negeri Sembilan",56320,N56320
Kayle MacCaughey,12/30/1987,019-4614668,F,Perak,45257,48 Wayridge Place,doctor,"48 Wayridge Place, 45257, Perak",16205,D16205
Jarib Groger,9/12/1930,019-4283340,M,Sabah,43233,323 Carey Parkway,doctor,"323 Carey Parkway, 43233, Sabah",23893,D23893
Madison Pedroni,7/24/1981,019-3360124,F,Kuala Lumpur,27912,3 Talmadge Drive,doctor,"3 Talmadge Drive, 27912, Kuala Lumpur",91357,D91357
Marc Rye,3/29/1989,019-1351873,F,Kedah,44696,4129 Forest Run Alley,nurse,"4129 Forest Run Alley, 44696, Kedah",35158,N35158
Melissa Silverthorne,9/13/1963,010-23102400,M,Kuala Lumpur,39928,9401 Atwood Street,nurse,"9401 Atwood Street, 39928, Kuala Lumpur",08130,N08130
Karina Fielding,4/10/1975,017-2417172,F,Labuan,34018,00416 Oriole Alley,doctor,"00416 Oriole Alley, 34018, Labuan",10355,D10355
Claus Hinge,5/10/1924,011-59864838,M,Johor,89900,09201 Goodland Way,nurse,"09201 Goodland Way, 89900, Johor",54156,N54156
Betty Hamments,12/29/1965,019-7765292,F,Johor,89588,44362 Eagle Crest Avenue,nurse,"44362 Eagle Crest Avenue, 89588, Johor",79092,N79092
Harriett Chastey,7/27/1978,010-17927655,M,Kelantan,88609,1 Lunder Pass,nurse,"1 Lunder Pass, 88609, Kelantan",24760,N24760
Yevette McMychem,2/21/1971,011-31394308,M,Perlis,81134,5910 Kings Avenue,nurse,"5910 Kings Avenue, 81134, Perlis",02422,N02422
Berrie O' Faherty,5/11/1939,011-47750682,F,Perlis,50374,99306 Bobwhite Court,nurse,"99306 Bobwhite Court, 50374, Perlis",40877,N40877
Park Carroll,9/14/1984,018-1579552,M,Selangor,14617,9 American Ash Parkway,nurse,"9 American Ash Parkway, 14617, Selangor",37876,N37876
Ethel Caccavari,5/14/1903,018-0319044,M,Melaka,23313,28 Reinke Place,doctor,"28 Reinke Place, 23313, Melaka",35074,D35074
Lenora Imlen,1/6/1981,010-60122879,M,Sabah,81065,45547 Doe Crossing Court,nurse,"45547 Doe Crossing Court, 81065, Sabah",17778,N17778
Massimo Cutchie,9/17/1987,017-8302256,F,Kuala Lumpur,45453,2478 Hagan Trail,doctor,"2478 Hagan Trail, 45453, Kuala Lumpur",65765,D65765
Louis Burgill,10/12/1915,019-8581660,F,Johor,95012,7 Calypso Circle,nurse,"7 Calypso Circle, 95012, Johor",12627,N12627
Arni Cockett,8/4/1918,019-2197455,M,Kelantan,51344,9387 Bay Lane,doctor,"9387 Bay Lane, 51344, Kelantan",59160,D59160
Kristyn Pally,3/25/1990,010-77915769,M,Johor,20237,66 Chinook Hill,doctor,"66 Chinook Hill, 20237, Johor",57631,D57631
Beilul Schultheiss,10/24/1979,010-19668664,F,Kedah,52351,560 Pankratz Circle,nurse,"560 Pankratz Circle, 52351, Kedah",72903,N72903
Corry Coning,11/15/1999,017-5228163,M,Perlis,69904,53273 Milwaukee Junction,nurse,"53273 Milwaukee Junction, 69904, Perlis",18221,N18221
Paule Faircloth,5/23/1997,011-64236048,F,Kuala Lumpur,73566,4 Golf View Alley,nurse,"4 Golf View Alley, 73566, Kuala Lumpur",29265,N29265
Chiarra Kleewein,1/18/1997,016-7227027,F,Selangor,80346,7 Spaight Point,nurse,"7 Spaight Point, 80346, Selangor",25119,N25119
Ramsay Tinson,10/8/1973,019-1422146,M,Perlis,03509,0220 Melody Avenue,nurse,"0220 Melody Avenue, 03509, Perlis",47166,N47166
Marji Hicken,8/8/1963,010-95254220,F,Pahang,07201,1 Mariners Cove Street,doctor,"1 Mariners Cove Street, 07201, Pahang",96855,D96855
Sybila Shand,4/19/1942,010-08009538,F,Penang,14432,315 Lakewood Parkway,nurse,"315 Lakewood Parkway, 14432, Penang",83707,N83707
Donovan Whild,3/10/1955,010-70928496,F,Perlis,81059,746 Bunker Hill Hill,nurse,"746 Bunker Hill Hill, 81059, Perlis",38735,N38735
Cullen Voss,4/16/1922,010-13570869,M,Sabah,53979,5108 Burrows Point,nurse,"5108 Burrows Point, 53979, Sabah",11852,N11852
Zeb McConnel,7/17/1921,019-0688459,M,Penang,10289,1403 Milwaukee Circle,nurse,"1403 Milwaukee Circle, 10289, Penang",24530,N24530
Trudi Kindall,10/25/1945,018-1953458,M,Negeri Sembilan,07619,57 4th Plaza,nurse,"57 4th Plaza, 07619, Negeri Sembilan",38693,N38693
Truman Harby,2/7/1948,019-9060259,F,Pahang,51895,1297 Mesta Court,doctor,"1297 Mesta Court, 51895, Pahang",54749,D54749
Stephenie Dincey,3/8/1991,011-40616667,F,Perak,02324,174 Tomscot Center,nurse,"174 Tomscot Center, 02324, Perak",52100,N52100
Mercy Cayser,8/11/1962,011-98091113,F,Melaka,86106,6285 Susan Street,nurse,"6285 Susan Street, 86106, Melaka",50065,N50065
Engelbert Stonbridge,11/25/1910,010-62761234,M,Perlis,33254,1688 Hollow Ridge Lane,nurse,"1688 Hollow Ridge Lane, 33254, Perlis",47572,N47572
Kipper Praundlin,12/17/1964,011-93933078,M,Putrajaya,86906,2 Morning Lane,doctor,"2 Morning Lane, 86906, Putrajaya",97842,D97842
Marrissa Sansum,5/2/1924,011-79774634,F,Putrajaya,13746,12 Pawling Junction,nurse,"12 Pawling Junction, 13746, Putrajaya",01597,N01597
Anderson Schubbert,11/17/1955,011-97326902,M,Selangor,01367,3 Spaight Hill,doctor,"3 Spaight Hill, 01367, Selangor",14019,D14019
Fallon Magister,10/18/1911,011-03891223,F,Sarawak,31720,245 Meadow Vale Trail,nurse,"245 Meadow Vale Trail, 31720, Sarawak",60790,N60790
Jaquenette Demcak,12/2/1912,019-5782984,F,Perak,11238,48989 Sherman Drive,nurse,"48989 Sherman Drive, 11238, Perak",09532,N09532
Nikki Bullcock,12/4/1938,019-8588057,M,Terengganu,25464,034 6th Terrace,nurse,"034 6th Terrace, 25464, Terengganu",97053,N97053
Kris Ranscome,12/18/1991,011-67153313,M,Pahang,55926,07 Farmco Place,doctor,"07 Farmco Place, 55926, Pahang",25868,D25868
Noellyn Staterfield,5/24/1965,018-5089887,M,Negeri Sembilan,78010,325 Monica Court,doctor,"325 Monica Court, 78010, Negeri Sembilan",55495,D55495
Iago Gascoyne,3/7/1985,011-12384807,M,Melaka,90767,606 Mariners Cove Plaza,nurse,"606 Mariners Cove Plaza, 90767, Melaka",40658,N40658
Jessi Cassells,9/15/1938,011-87243659,F,Kuala Lumpur,43741,7829 Mayfield Crossing,nurse,"7829 Mayfield Crossing, 43741, Kuala Lumpur",14314,N14314
Carla Hardage,4/28/1964,010-16834350,M,Labuan,99794,466 Iowa Drive,doctor,"466 Iowa Drive, 99794, Labuan",76340,D76340
Anton Kloisner,10/24/1906,019-1111994,M,Kedah,98160,10 West Road,doctor,"10 West Road, 98160, Kedah",57568,D57568
