patientID,NRIC,name,dateOfBirth,phoneNumber,gender,address,emergencyContactNumber,emergencyContactName,emergencyContactRelationship
P016979,080729-13-6133,Bellina Yankeev,29/7/1908,011-38445507,M,"88612 Mayer Circle,Sarawak",011-97444887,Calypso York,parents
P064746,970224-04-2175,Arliene Leebetter,24/2/1997,011-98959377,M,"5364 Loftsgordon Park,Perlis",019-8094734,Bayard Triswell,daughter
P531113,190906-16-2982,Cad Mottini,6/9/1919,011-08281516,M,"03261 Di Loreto Drive,Melaka",011-81718552,Liana Davys,spouse
P704272,771130-47-2905,Yoshiko Geddis,30/11/1977,011-60474961,M,"75666 Elgar Point,Sabah",011-27554797,Skyler Van Salzberger,parents
P171835,940219-01-0858,Costanza Stanyan,19/2/1994,011-45340871,F,"6 Carioca Crossing,Johor",019-7032329,Juliann Eaddy,parents
P580231,221122-38-9297,Madelene Leech,22/11/1922,011-95312106,M,"66328 Mayfield Point,Perak",011-20648334,Joly Thormann,spouse
P907201,751028-28-7103,Murdock Sowrah,28/10/1975,019-8448245,M,"54826 Hoard Terrace,Kelantan",019-2400035,Rem Loney,son
P650965,161116-12-0904,Gaston Saylor,16/11/1916,011-33942208,F,"0314 Ramsey Plaza,Sabah",011-37726310,Claus Vale,son
P645443,721025-16-5584,Giulia Chesterman,25/10/1972,018-6153300,M,"0641 Donald Circle,Melaka",019-4786751,Merill Basillon,spouse
P565726,270127-01-9032,Ibbie Brocklebank,27/1/1927,011-05099840,F,"45895 Sutherland Drive,Johor",011-65584013,Sargent Montgomery,parents
P046403,200630-16-4259,Grover Yakobovitz,30/6/1920,011-78354959,M,"11098 Lyons Avenue,Putrajaya",014-4373652,Nissy Salery,parents
P832869,271202-09-7753,Nicholas Aery,2/12/1927,011-50059953,F,"4 Glendale Place,Perlis",011-25889651,Felice Squibb,cousin
P351203,510830-15-2539,Mollee Barff,30/8/1951,018-2620421,F,"1 Emmet Way,Labuan",011-69114165,Mirilla Giacubbo,daughter
P877918,980427-44-4882,Faydra Woollacott,27/4/1998,011-08528976,M,"6668 Monterey Point,Selangor",011-31460408,Carmelita Turbern,parents
P494572,470626-28-8798,Gerry Kneeshaw,26/6/1947,011-46335344,M,"910 Mayfield Avenue,Kelantan",011-35637186,Cristine Oris,son
P684525,961210-06-2360,Rina Brownlie,10/12/1996,019-9233171,M,"9 Summer Ridge Avenue,Pahang",014-0133724,Joelie Bertelmot,spouse
P116087,640816-39-6773,Emmie Fynes,16/8/1964,011-92621928,M,"3 Mallard Way,Perak",011-32919122,Dorree Ogley,son
P247381,140428-16-8572,Weston Andreasson,28/4/1914,011-07026229,F,"45 Bay Center,Melaka",011-76217981,Jeromy Timperley,daughter
P431357,060404-31-6090,Viviyan Tiddeman,4/4/1906,011-16200245,F,"58833 Mendota Circle,Negeri Sembilan",011-47614238,Corina Loines,parents
P863955,020520-07-3905,Ashlee Gockeler,20/5/1902,011-37133151,F,"75 Butterfield Plaza,Penang",011-63238387,Jeromy Stilling,parents
P539135,691211-50-9088,Moll McCoole,11/12/1969,011-81425764,F,"30 Homewood Junction,Sarawak",019-4808350,Garvin Jermin,cousin
P106640,840214-27-2531,Bab Richemont,14/2/1984,019-0546044,F,"47844 Haas Road,Kedah",019-9632952,Seline St Quenin,guardian
P773648,020203-57-6027,Eba Oxteby,3/2/1902,019-2356267,M,"28371 Oriole Junction,Kuala Lumpur",011-95277154,Val Wissby,spouse
P584483,611015-04-8723,Bee Blackborow,15/10/1961,018-8648460,M,"882 Ronald Regan Drive,Perlis",019-0979904,Miriam Caplis,parents
P634339,870730-03-8906,Winona Betham,30/7/1987,019-7467455,F,"2 Randy Junction,Kelantan",018-6057054,Melitta Pendlebery,spouse
P369420,790126-15-8540,Hatty Poter,26/1/1979,011-15726319,F,"948 Magdeline Trail,Labuan",011-78931947,Joye Bresnen,cousin
P278830,481007-51-4810,Chance Brood,7/10/1948,011-46469656,M,"92321 Arapahoe Plaza,Sarawak",018-6283397,Veriee Carlisi,guardian
P690116,950307-31-7075,Libbey Iliffe,7/3/1995,011-35492326,M,"3109 Linden Way,Negeri Sembilan",019-0839816,Jannelle Howse,parents
P441579,450411-16-0235,Chery Friberg,11/4/1945,019-2249922,M,"14 Randy Road,Putrajaya",011-36165736,Sandi Drissell,cousin
P532860,991202-11-5657,Alison Rickardsson,2/12/1999,017-4966898,M,"14863 Kennedy Terrace,Terengganu",019-4728241,Leigh Nicholson,cousin
P375406,790926-49-0875,Goraud Patton,26/9/1979,011-13019738,M,"6 East Avenue,Sabah",011-78580498,Toni Andrichuk,parents
P081213,560702-47-2423,Kirk Blackaller,2/7/1956,018-8410694,M,"15 Redwing Way,Sabah",018-8546644,Elvin Kairns,spouse
P185250,320603-34-6531,Rutherford Burberry,3/6/1932,019-9016886,F,"30 Kings Hill,Penang",018-0886613,Lesya Ranns,parents
P294714,070419-21-6722,Lizette Polk,19/4/1907,019-2137669,F,"34670 Grover Terrace,Johor",018-8597120,Rosella Cozby,parents
P284212,770111-05-0940,Eleanora Braddon,11/1/1977,011-20985437,M,"72460 Ridgeway Court,Negeri Sembilan",011-82469801,Gleda Echallie,son
P103218,550127-36-1230,Agata Jerram,27/1/1955,019-9388672,F,"139 Granby Parkway,Perak",019-7057558,Deane Wooderson,son
P406258,810515-15-1917,Russell McVitty,15/5/1981,011-92947929,F,"855 Elka Alley,Labuan",018-5853020,Jorry Huntingford,parents
P673594,050719-09-8385,Milton Skentelbury,19/7/1905,019-1714625,F,"7035 Saint Paul Avenue,Perlis",019-8160169,Kendell Cavill,spouse
P266561,471101-58-8849,Ingeberg McFayden,1/11/1947,011-52261281,F,"1 Sheridan Trail,Labuan",011-32761831,Timothy Shimuk,son
P861020,460829-50-1093,Mason Blinkhorn,29/8/1946,019-1952274,M,"69 Welch Parkway,Sarawak",011-42148348,Josephina Quig,guardian
P453476,850927-12-7091,Llywellyn Piccard,27/9/1985,011-71110757,M,"23620 Harbort Road,Sabah",018-5668999,Sylas Simione,cousin
P484477,151011-15-9290,Finlay Maunsell,11/10/1915,011-19283076,M,"9 Mcbride Trail,Labuan",011-14571001,Grenville Shurey,guardian
P532059,201122-16-5878,Vallie Senescall,22/11/1920,014-6997197,M,"77448 Gale Way,Melaka",019-6418248,Valera Chilcotte,guardian
P304994,020207-23-2649,Thaddeus Haquin,7/2/1902,019-7997425,M,"3204 Garrison Center,Johor",011-31934838,Ruby Cookley,guardian
P021416,170421-05-0421,Lutero Riediger,21/4/1917,011-99555061,F,"6 Warbler Point,Negeri Sembilan",019-3278012,Kathlin Neasham,spouse
P630162,960813-09-4428,Morganica Pranger,13/8/1996,014-7815345,F,"26565 Manley Place,Perlis",019-2991344,Eolande Dumblton,son
P704045,650825-01-2635,Annabell O'Dunniom,25/8/1965,019-0324669,F,"3434 Fairview Way,Johor",019-5886148,Virgil Kield,daughter
P803613,601116-48-2688,Granville Jiruca,16/11/1960,011-64093594,M,"7700 Sachs Parkway,Sabah",017-5412920,Theressa Gale,cousin
P005908,670618-09-2955,Aguste Cassar,18/6/1967,017-2629650,F,"4 Barby Street,Perlis",011-74734359,Boycie Haggas,spouse
P695920,411111-41-7048,Martha Nutt,11/11/1941,019-6169935,M,"95320 Morrow Park,Selangor",011-47311779,Jonas Dowson,son
P766752,740501-50-4367,Scarlett Yvon,1/5/1974,019-3454187,M,"0 Dexter Street,Sarawak",011-21736884,Salome Forri,parents
P670389,350404-47-8780,Erastus Worland,4/4/1935,011-83817743,F,"28310 Waubesa Place,Sabah",019-3158592,Petr Chew,parents
P942510,421026-32-0689,Lea Deluce,26/10/1942,018-1023158,M,"98878 Haas Circle,Pahang",011-99531315,Tiphani Dunsford,cousin
P922785,911129-46-3767,Claus Rosindill,29/11/1991,011-71852920,M,"011 Leroy Road,Terengganu",017-2349887,Ema Breacher,son
P244144,621103-16-0087,Cornelia Harner,3/11/1962,011-31526391,F,"214 John Wall Parkway,Melaka",011-99757681,Garry Eyrl,daughter
P699695,060621-42-1281,Ali Bakhrushkin,21/6/1906,011-40059031,M,"36 Helena Point,Selangor",017-4365305,Allard Codling,spouse
P347342,540103-55-0207,Alexandro Rudeyeard,3/1/1954,011-28965837,M,"6358 Mariners Cove Place,Kuala Lumpur",011-84951801,Hebert Birchall,son
P467176,531021-45-9242,Amalita Merrisson,21/10/1953,019-1324185,M,"1212 Fairview Plaza,Terengganu",011-28110344,Charmaine Pembridge,parents
P142526,440210-22-3557,Goldy Egle,10/2/1944,018-2600356,F,"72482 Schiller Lane,Johor",011-40733902,Danita McKaile,daughter
P520814,480316-10-8554,Lazaro Wallentin,16/3/1948,019-9553766,F,"18583 Pleasure Center,Selangor",018-1733969,Estel Shorto,spouse
P418490,370714-14-5069,Cris Ruckert,14/7/1937,019-8782315,F,"10909 Melby Crossing,Kuala Lumpur",017-6289486,Romonda Durtnal,son
P646167,410707-33-6829,Judon Polleye,7/7/1941,011-71246516,M,"7529 Mandrake Hill,Pahang",019-9566551,Tucky Pardew,guardian
P579701,240616-53-6820,Anestassia Sawley,16/6/1924,019-7381153,M,"9885 Dorton Point,Sarawak",011-19951692,Shay Pesik,parents
P508886,111023-45-0256,Paddy Galbraith,23/10/1911,019-2268629,M,"34738 Daystar Way,Terengganu",018-4491251,Gerhardine Renison,daughter
P595459,601013-58-9660,Vite McGoldrick,13/10/1960,018-9343443,M,"5122 Evergreen Lane,Labuan",011-24012524,Otes Argabrite,guardian
P578523,661201-58-4301,Barbey Treske,1/12/1966,011-47754279,M,"22 Montana Pass,Labuan",019-8633900,Zulema Bisseker,guardian
P281025,071201-16-9158,Galen Kubas,1/12/1907,016-1827966,F,"48828 Reindahl Street,Putrajaya",011-14715791,Vaclav Mainds,son
P984855,980318-43-3536,Rona Borwick,18/3/1998,018-1294547,F,"15 Forest Point,Selangor",011-82647513,Yolanda Matley,son
P864563,671103-26-1147,Wilma Vescovini,3/11/1967,018-9004565,M,"3249 Montana Trail,Kedah",011-76451078,Mar Hewertson,daughter
P739548,830419-39-4035,Kelsey Sirrell,19/4/1983,018-3243917,M,"5996 Packers Place,Perak",011-90181941,Janey Macoun,spouse
P459229,631121-28-0223,Cozmo Germaine,21/11/1963,011-12392817,M,"47 Shasta Crossing,Kelantan",011-19085336,Josy Baynam,parents
P727578,380414-28-9340,Coreen Blagden,14/4/1938,011-80844509,M,"01 Drewry Plaza,Kelantan",011-78218531,Waring Banister,spouse
P522171,891025-13-0627,Ham Mattusov,25/10/1989,018-1913293,M,"737 Farmco Junction,Sarawak",019-5862557,Benjamen Ferretti,guardian
P135397,710921-59-9008,Tallia Waterstone,21/9/1971,011-28462015,F,"0883 Helena Drive,Negeri Sembilan",011-62161271,Willem Stallwood,cousin
P809480,730331-41-1954,Birgitta Amsden,31/3/1973,011-92156211,F,"5 Mallory Crossing,Selangor",018-8701374,Rozella O' Connell,cousin
P331111,770706-08-6591,Lanita Kennagh,6/7/1977,011-76014077,M,"386 Glacier Hill Road,Perak",017-1304999,Melina Witherbed,daughter
P937920,680927-09-9942,Janina Gomar,27/9/1968,011-82374501,F,"8199 Nelson Center,Perlis",011-37906938,Ferdy Casarino,guardian
P210716,150428-16-5083,Timi Thackham,28/4/1915,019-5084665,F,"8 Welch Park,Putrajaya",011-46683123,Pier Howlin,daughter
P383860,110511-58-5865,Gaspard McOwen,11/5/1911,019-9523962,F,"7587 Holy Cross Trail,Labuan",011-26463100,Shayne Matyushenko,cousin
P518836,390220-10-3902,Alasteir Haitlie,20/2/1939,011-94844870,F,"04 Stoughton Plaza,Selangor",018-1437935,Jarrad Chadwyck,son
P940275,211020-06-5375,Charita Tipper,20/10/1921,011-75676178,F,"6 Walton Trail,Pahang",019-5138479,Rodolphe Dumphries,spouse
P512273,700314-48-5754,Liz Hartshorn,14/3/1970,011-65692545,M,"9685 Fairview Point,Sabah",011-11299697,Lorrie Dissman,parents
P082639,380125-04-8335,Silvia Goldingay,25/1/1938,011-35685087,F,"229 Saint Paul Circle,Perlis",011-28633949,Clarette Larkby,guardian
P244582,630412-16-5875,Lani Boobyer,12/4/1963,011-61836144,M,"60378 Dawn Alley,Melaka",019-7550929,Annalee Macia,son
P542000,721123-38-6652,Dorian Roof,23/11/1972,019-9767352,M,"5176 Northfield Alley,Perak",011-22273672,Jelene Staniford,daughter
P806424,631227-16-5486,Mackenzie Sabati,27/12/1963,011-98481902,M,"6742 Blaine Center,Putrajaya",011-23870298,Leonard McGillacoell,spouse
P412251,871127-49-8503,Reuben Brasseur,27/11/1987,011-53656814,F,"89152 Aberg Crossing,Sabah",011-93896446,Sharity Padillo,guardian
P358749,741224-22-1404,Riley Hibling,24/12/1974,011-87970866,M,"888 Ruskin Place,Johor",019-1521577,Lazare Carl,son
P394379,300608-31-3664,Pippy Hamblett,8/6/1930,011-12775150,F,"59731 Manufacturers Court,Negeri Sembilan",011-94128066,Janis Churchyard,guardian
P484299,660720-16-6836,Korney Gjerde,20/7/1966,019-2051682,F,"77 Annamark Street,Putrajaya",019-8464474,Hastie Darling,parents
P017304,100802-25-6897,Zared Gillanders,2/8/1910,019-3194306,F,"615 Granby Crossing,Kedah",011-69707231,Sydney Klimpke,son
P944666,880106-28-2176,Pammie Greveson,6/1/1988,011-31981123,M,"1807 Nobel Circle,Kelantan",019-4239842,Katya Moggie,spouse
P490315,190112-41-8159,Thaddus Donet,12/1/1919,018-2359547,M,"247 Heath Junction,Selangor",011-37299259,Genovera Matussov,daughter
P350136,670820-16-6842,Scot Bondesen,20/8/1967,019-7217598,M,"2 Melby Crossing,Melaka",018-5335375,Ethan Aimer,guardian
P384744,680324-05-8355,Weylin Capper,24/3/1968,011-74170008,F,"0491 Red Cloud Avenue,Negeri Sembilan",019-8296933,Esdras Hames,son
P385210,071124-16-4068,Ilise Cartwight,24/11/1907,018-8293833,M,"2 Acker Circle,Putrajaya",017-6122092,Noelyn Edgeson,daughter
P501040,011228-54-8959,Ciel Lief,28/12/1901,019-2622340,F,"8617 Glacier Hill Avenue,Kuala Lumpur",011-76552253,Anderson MacCartair,guardian
P156792,401222-27-7324,Benita Nice,22/12/1940,018-9839158,F,"431 Portage Avenue,Kedah",011-39645036,Donavon Alldis,spouse
P344773,091009-01-5203,Andris Casella,9/10/1909,011-56271738,M,"5 Eastwood Parkway,Johor",011-05998844,Cassandra Muehle,guardian
P063255,120401-16-8514,Garrik Carless,1/4/1912,011-02802531,F,"33269 Bartelt Street,Putrajaya",011-88338138,Aubrette Gannicott,daughter
P151137,950928-23-9666,Zed McCarthy,28/9/1995,011-13952157,F,"97 Forest Run Junction,Johor",011-54387087,Ailina Sallinger,spouse
P871655,811022-52-9651,Bernie McMylor,22/10/1981,018-7383446,M,"5 Pond Crossing,Sarawak",019-8791922,Henri Tegeller,spouse
P642634,420523-01-8772,Elyn Gillbard,23/5/1942,011-81922814,M,"5 4th Plaza,Johor",011-32706752,Kacy Bellay,parents
P759369,650418-54-6851,Eveline Stratz,18/4/1965,011-53749749,F,"77 Vermont Place,Kuala Lumpur",016-9958798,Giuditta Peet,daughter
P804991,241101-04-1816,Nanon Evert,1/11/1924,011-37401090,M,"146 6th Alley,Perlis",019-6398738,Irv Phizacklea,son
P656720,770730-09-4161,Lewie Currier,30/7/1977,018-2739926,M,"270 Chinook Road,Perlis",019-6352274,Artus Mundell,spouse
P498445,500612-37-1127,Fidela Shera,12/6/1950,011-08060004,M,"18 Hazelcrest Alley,Perak",011-74846122,Verna Dormer,parents
P261701,020717-50-5385,Jeremie Harries,17/7/1902,018-1421850,M,"71671 Hazelcrest Parkway,Sarawak",013-6262209,Fonz Fauguel,guardian
P394493,841122-16-5852,Giusto O'Leagham,22/11/1984,017-2811020,M,"4 Dunning Alley,Putrajaya",011-70243272,Olimpia McIntosh,parents
P903790,100630-12-9647,Gilburt Duckwith,30/6/1910,017-3913397,M,"02631 Mendota Road,Sabah",019-1714082,Barclay Dumbell,son
P446088,640413-39-0665,Millicent Sleney,13/4/1964,012-4412677,F,"0510 Manley Junction,Perak",018-5888430,Gabriel Galego,guardian
P352642,840719-05-5977,Marielle Kopp,19/7/1984,011-94967347,F,"5 Clove Avenue,Negeri Sembilan",011-41384332,Dru Hindrick,parents
P819954,570904-34-7460,Julieta Brookes,4/9/1957,011-83680172,F,"6 Melby Parkway,Penang",011-99132068,Gwenni Endrizzi,parents
P126037,510521-12-3335,Caria Burgane,21/5/1951,011-55947674,F,"28119 Mcbride Alley,Sabah",019-9766121,Livy Kermott,son
P560030,180821-33-6918,Abbie Layne,21/8/1918,019-1568171,F,"8376 Coolidge Hill,Pahang",014-9363763,Sallie Cotsford,son
P583338,400831-46-7242,Chelsey Dungay,31/8/1940,011-42806416,M,"686 Union Avenue,Terengganu",011-55715609,Randolf Ervine,spouse
P171958,360504-33-6723,Marmaduke Gaffney,4/5/1936,017-4214758,F,"59808 David Hill,Pahang",018-6230216,Morey Schreiner,cousin
P613786,310127-02-0015,Fredrika Phare,27/1/1931,019-7636156,M,"28 Arapahoe Place,Kedah",011-14049955,Desmond Billin,son
P379609,041107-16-3644,Viole Buffy,7/11/1904,011-46989590,F,"5 Rowland Junction,Melaka",011-57540000,Urban McBeith,parents
P916298,810722-08-1740,Charlie McClary,22/7/1981,011-95149251,M,"62 Atwood Center,Perak",011-64671464,Cele Lawlan,cousin
P090204,721221-58-3208,Agosto Blachford,21/12/1972,019-9581614,M,"9 Magdeline Center,Labuan",017-1127762,Gill Adkins,daughter
P235916,020713-09-0008,Fancy Snarr,13/7/1902,011-05805195,M,"32 Moland Road,Perlis",017-5126656,Yalonda Slowly,spouse
P420519,751123-16-6902,Hinda Grief,23/11/1975,011-23631181,M,"12351 Old Shore Drive,Melaka",019-3217915,Cynthea Flanne,cousin
P191032,110510-49-7271,Brew Allmen,10/5/1911,019-9729049,M,"33010 Harbort Parkway,Sabah",011-77337855,Clayton Nodin,cousin
P030686,111217-48-1096,Dagmar Olivari,17/12/1911,018-5798459,F,"753 Comanche Street,Sabah",019-1504272,Luisa Rookwell,parents
P974246,520709-02-8531,Lenna Rizzotto,9/7/1952,011-61334401,F,"117 Parkside Junction,Kedah",011-47095308,Ransell Higgonet,cousin
P024469,890901-27-3533,Herrick Lambdin,1/9/1989,011-98175115,M,"28 Scoville Terrace,Kedah",011-75972590,Zackariah Earsman,daughter
P865351,610812-44-8938,Alika Popplestone,12/8/1961,011-75434628,F,"08 Gale Terrace,Selangor",011-61560556,Tommi Rubinowitsch,parents
P780536,340623-28-9476,Eula Kee,23/6/1934,019-5478681,M,"4265 Arapahoe Junction,Kelantan",019-5676926,Tabb Jackways,daughter
P659047,050321-24-3969,Jobye Shivlin,21/3/1905,019-8784445,M,"9 Utah Place,Johor",011-74132452,Travers Blaksland,son
P236775,360112-01-6728,Nappy Trask,12/1/1936,019-3672463,M,"41 Elgar Parkway,Johor",017-4707806,Rani Fomichyov,spouse
P291430,301221-27-5679,Frasquito Harower,21/12/1930,017-9813217,M,"31 Granby Plaza,Kedah",018-9864264,Redd Kettlewell,parents
P962404,160514-22-5513,Jody Curtin,14/5/1916,013-3586860,M,"2 Clove Pass,Johor",011-62639730,Elisabeth Kondratowicz,parents
P531962,810329-37-8589,Marabel Daniello,29/3/1981,011-37697651,M,"66 Badeau Crossing,Perak",018-0790062,Dorolice Minto,son
P456563,080514-16-7784,Lindon Feldmesser,14/5/1908,011-02005728,M,"5528 Kedzie Street,Melaka",019-8195477,Randy Graeber,daughter
P717739,080720-22-7090,Martica Wilmot,20/7/1908,019-2063237,M,"178 Springs Avenue,Johor",011-36878813,Florentia Farrah,parents
P020263,990714-51-9039,Stacie Fernie,14/7/1999,019-5442659,M,"83476 Eliot Trail,Sarawak",018-5744635,Kessiah Billam,guardian
P535041,230321-09-7650,Benny Derisly,21/3/1923,011-73881819,M,"4895 Fisk Plaza,Perlis",011-18633457,Noreen Northern,cousin
P897682,370212-16-3104,Hillary Bolduc,12/2/1937,011-57002461,F,"0634 Evergreen Alley,Putrajaya",012-7903028,Martino Morrell,son
P437573,271121-54-0163,Talia Carlucci,21/11/1927,013-0257699,F,"5 Ohio Lane,Kuala Lumpur",018-9139854,Tades Stuchberry,cousin
P999857,101028-49-5068,Jeremias Schohier,28/10/1910,011-94059783,M,"55 Ridgeview Circle,Sabah",018-3725410,Corty Allsopp,guardian
P921711,040529-21-6681,Teddy Darlasson,29/5/1904,011-77057687,F,"80637 Kennedy Place,Johor",016-0671617,Leese Drane,son
P859454,240514-15-3396,Brian Colleymore,14/5/1924,011-59702710,M,"4475 Mendota Drive,Labuan",018-6358647,Hillier Verlinde,parents
P826684,390420-27-4282,Isiahi Burrill,20/4/1939,010-1762459,M,"94915 Prairie Rose Way,Kedah",011-34848794,Harriet Oxford,parents
P729374,031109-05-0804,Georgeanne Mathiassen,9/11/1903,011-21862490,F,"30 Scoville Junction,Negeri Sembilan",017-4179150,Tessa Heinert,son
P747536,850117-58-6200,Ancell Stranger,17/1/1985,011-57389654,M,"7 Duke Terrace,Labuan",019-5079979,Hallsy Seldner,spouse
P049693,440805-48-1485,Laurie Brade,5/8/1944,018-8191684,F,"124 Haas Circle,Sabah",011-97619453,Audi D'Angeli,parents
P409408,551006-16-5786,Brod Woodruff,6/10/1955,011-66638172,F,"43 Colorado Plaza,Melaka",019-7468250,Melina McAlarney,daughter
P183238,940118-06-9080,Bryan Clare,18/1/1994,011-65165834,F,"3 Hermina Pass,Pahang",011-27852315,Sherwin Zanneli,cousin
P236417,950922-03-7864,Carlen Jury,22/9/1995,014-6387864,M,"95 Graedel Junction,Kelantan",011-16531149,Elisha Kinghorn,parents
P893308,810303-15-1281,Free Le Brom,3/3/1981,011-90016964,F,"23421 Sauthoff Way,Labuan",018-6913838,Loretta Wootton,cousin
P153465,520503-34-4551,Roxy Letterick,3/5/1952,011-26614890,M,"17314 Walton Park,Penang",011-87396689,Christy Pitrollo,son
P526209,321010-35-1631,Ferd Woodall,10/10/1932,019-1554480,M,"64 Aberg Pass,Penang",018-4284037,Monique Flowerden,son
P403605,700226-21-4974,Augie Knappe,26/2/1970,019-9950907,M,"3 Rutledge Point,Johor",011-67389900,Mirelle Finch,spouse
P196403,990128-34-7896,Nickola Challener,28/1/1999,010-1696179,M,"1018 Schiller Center,Penang",019-0341366,Olenolin Tebald,daughter
P628790,130614-59-3380,Juliet Hambly,14/6/1913,019-1231076,M,"26483 Monument Way,Negeri Sembilan",016-8046790,Blane Fucher,cousin
P327917,920807-05-8355,Drucy Peal,7/8/1992,016-2156755,M,"6050 Goodland Junction,Negeri Sembilan",019-0680262,Doralin Botright,parents
P417800,640531-16-6818,Karl Sherred,31/5/1964,018-0843520,F,"99716 Grover Center,Putrajaya",011-58899407,Kendricks Daal,cousin
P453488,340604-11-8019,Mariele Bracegirdle,4/6/1934,018-9808102,F,"82055 Glendale Trail,Terengganu",011-04905010,Townie Bothe,cousin
P727322,441208-13-8668,Henderson Redihalgh,8/12/1944,011-28401017,M,"4648 Calypso Parkway,Sarawak",019-9239390,Walden Tomaschke,spouse
P826292,720805-11-5003,Bev Boot,5/8/1972,019-5705517,F,"35 Toban Parkway,Terengganu",017-7263970,Lois Eggleton,daughter
P228608,570604-07-3383,Euphemia Colville,4/6/1957,011-43870702,F,"15 Sugar Junction,Penang",018-2414648,Olive Huscroft,spouse
P417692,670812-24-6255,Read Wellard,12/8/1967,011-87555465,F,"30556 Haas Avenue,Johor",011-62857590,Leicester Milliken,spouse
P601998,280412-27-2380,Bram De la Yglesias,12/4/1928,011-28319162,M,"9 Stone Corner Parkway,Kedah",019-0390454,Evvy Bragger,son
P404359,250129-16-7242,Gar Cruces,29/1/1925,019-8619539,M,"88 Del Mar Court,Melaka",011-03017993,Olivero Gawn,parents
P715400,090503-04-0142,Gherardo Farrington,3/5/1909,011-47586445,M,"2 Bultman Lane,Perlis",011-19451324,Emmalynne Cours,cousin
P950263,890628-22-2601,Alisa McCallam,28/6/1989,018-2683381,F,"244 Swallow Pass,Johor",011-00997194,Sargent Paddell,son
P638338,850127-05-9731,Neill Kiwitz,27/1/1985,018-5544583,F,"1 Arrowood Alley,Negeri Sembilan",011-99537299,Aline Philips,spouse
P924125,630110-21-0806,Elka Attwood,10/1/1963,011-10735665,F,"22202 Declaration Drive,Johor",011-45099571,Kaycee Arter,son
P459799,630711-23-8279,Cecilius Klimes,11/7/1963,011-93380988,F,"7 Basil Avenue,Johor",018-8857526,Margalo Tebbet,guardian
P171433,560225-16-9311,Arden Haack,25/2/1956,014-1742614,F,"500 Tennyson Parkway,Putrajaya",011-51251495,Kristine Stoakley,son
P975972,930718-08-2325,Neil Petrashov,18/7/1993,016-8820819,M,"93 Dwight Junction,Perak",019-0136917,Stillman Stookes,guardian
P495898,950831-16-4925,Charles Dollman,31/8/1995,011-48393422,F,"250 East Street,Melaka",018-4847592,Cecelia Stonebanks,guardian
P098480,910918-28-2003,Pippo Haythornthwaite,18/9/1991,018-0640243,M,"54418 Shopko Center,Kelantan",011-18569994,Fina Jerzak,son
P027616,660324-31-2984,Beauregard Flaxon,24/3/1966,019-9484261,F,"5 Portage Court,Negeri Sembilan",011-41149785,Kerry Balassa,guardian
P374179,220715-52-9697,Sam Lorriman,15/7/1922,019-5306222,F,"86 Independence Place,Sarawak",018-4776099,Obediah Goldstone,parents
P844601,310309-04-0835,Dennis Sabate,9/3/1931,019-5415534,F,"68639 Lindbergh Street,Perlis",011-12050246,Arri Liddall,daughter
P378816,391028-01-3262,Cornelle McFadden,28/10/1939,011-15396800,F,"2 Jenifer Parkway,Johor",019-3275327,Merry Glisane,parents
P476119,710821-52-6065,Jacklyn Roddell,21/8/1971,011-68104199,F,"882 Twin Pines Way,Sarawak",011-81124404,Maegan Bernardini,spouse
P432890,761201-48-0080,Dianna Dietsche,1/12/1976,018-0630110,F,"11 Doe Crossing Road,Sabah",011-45629816,Klarrisa Kimber,spouse
P169243,400411-43-3186,Dorine Mattevi,11/4/1940,011-38520007,F,"09349 Talmadge Pass,Selangor",011-41921501,Cleveland Hulk,guardian
P273503,181106-08-0786,Terrijo Reeder,6/11/1918,011-58785885,M,"8164 Russell Road,Perak",014-1614077,Chris Predohl,daughter
P898424,821014-16-1778,Tresa Beaford,14/10/1982,019-3462557,M,"58477 Loftsgordon Road,Melaka",018-8471192,Honor Stoad,parents
P062935,220204-58-2847,Austen Gratrix,4/2/1922,011-56606975,M,"70567 Hollow Ridge Circle,Labuan",011-50003876,Phip Oliver-Paull,guardian
P415808,830509-32-5129,Roana Ikringill,9/5/1983,011-48790931,F,"4 Knutson Way,Pahang",017-6663428,Sergio Risbridge,parents
P339025,700430-24-6410,Vergil Gurko,30/4/1970,019-3463286,F,"547 Del Sol Pass,Johor",019-7209327,Michele Heining,parents
P249730,511115-08-7127,Heddie Coston,15/11/1951,011-90751103,F,"135 Waywood Pass,Perak",019-3602942,Sheilakathryn Van Daalen,cousin
P991860,071220-27-3557,Carla Yakhin,20/12/1907,019-3648214,M,"701 Columbus Terrace,Kedah",011-20690824,Branden Payn,daughter
P823148,401118-47-6000,Norrie Slaght,18/11/1940,018-4448339,M,"260 Troy Street,Sabah",011-29279854,Dara Braiden,son
P550907,910121-32-0994,Preston Heineke,21/1/1991,011-04213020,F,"1032 Hovde Plaza,Pahang",011-98047651,Alphonse Dakers,daughter
P649211,471010-07-5562,Lyndsie Kemer,10/10/1947,011-15979324,M,"8 Lake View Hill,Penang",019-0726366,Hyman Chalcraft,guardian
P864521,521124-15-0286,Elfrida Haswall,24/11/1952,019-1018180,F,"5968 Brickson Park Parkway,Labuan",011-72475009,Caryl Cavil,cousin
P582661,730417-09-9196,Trixy Minard,17/4/1973,011-57074845,F,"1 Cottonwood Way,Perlis",018-8774007,Dorrie Prandini,guardian
